"filename","source","MISC"
"tlg0284.tlg049.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 49_365","t_1|t_3|ref=Orat. 49_365"
"tlg0284.tlg050.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 50_401","t_1|t_3|ref=Orat. 50_401"
"tlg0284.tlg051.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 51_416","t_1|t_6|ref=Orat. 51_416"
"tlg0284.tlg052.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 52_425","t_1|t_2|ref=Orat. 52_425"
"tlg0284.tlg053.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 53_1","t_1|t_10|ref=Orat. 53_1"
"tlg0284.tlg054.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 54_2-4","t_1|e_1|ref=Orat. 54_2"
"tlg0284.tlg055.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 55_1","t_1|t_16|ref=Orat. 55_1"
"tlg1252.tlg002.1st1K-grc1_oga020_src","Cert.Hom.Hes._, Certamen Homeri et Hesiodi 1","t_1|e_1|ref=Cert.Hom.Hes._1"
"tlg1271.tlg001.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), 1Clem._preface.1","t_1|t_2|ref=1Clem._preface.1"
"tlg1271.tlg002.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), 2Clem._1.1","t_1|t_4|ref=2Clem._1.1"
"tlg1271.tlg003.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), Pet.ep.Jas._1","t_1|e_1|ref=Pet.ep.Jas._1"
"tlg1271.tlg004.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), Cont._1","t_1|t_11|ref=Cont._1"
"tlg1271.tlg005.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), Clem.ep.Jas._1","t_1|t_36|ref=Clem.ep.Jas._1"
"tlg1271.tlg006.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), Hom._1.1","t_1|t_14|ref=Hom._1.1"
"tlg1271.tlg010.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), virg.ep._1.2.1","t_1|0|ref=virg.ep._1.2.1"
"tlg1271.tlg011.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), _0","t_1|t_42|ref=_0"
"tlg1271.tlg012.1st1K-grc1_oga020_src","Clemens Romanus (Clement of Rome), _0","t_1|t_12|ref=_0"

"tlg1286.tlg009.1st1K-grc1_oga020_src","Hermetica, _1a","t_1|t_12|ref=_1a"

"tlg1486.tlg002.1st1K-grc1_oga020_src","Matron of Pitana, Fragmenta urn:cts:greekLit:tlg1486.tlg002.1st1K-grc1.1.1-urn:cts:greekLit:tlg1486.tlg002.1st1K-grc1.2.5","t_1|t_3|ref=fr._1.1"

"tlg1595.tlg221.1st1K-grc1_oga020_src","Philodemus, De Musica Librorum Quae Exstant urn:cts:greekLit:tlg1595.tlg221.1st1K-grc1.1.1","t_1|e_1|ref=music._1.1"

"tlg1801.tlg001.1st1K-grc1_oga020_src","Parodica Anonyma, Incertorum fragmenta urn:cts:greekLit:tlg1801.tlg001.1st1K-grc1.1.1","t_1|t_7|ref=incert.fr._1.1"

"tlg1802.tlg001.1st1K-grc1_oga020_src","vers.heroic._, Versus heroici 1","t_1|e_1|ref=vers.heroic._1"

"tlg2016.tlg001.1st1K-grc1_oga020_src","Martyrium Perpetuae et Felcitatis, pas.Perpet._0","t_1|0|ref=pas.Perpet._0"

"tlg2018.tlg020.1st1K-grc1_oga020_src","Eusebius of Caesarea, Vita Constantini 1.TOC.1","t_1|e_1|ref=v.C._"

"tlg2021.tlg002.1st1K-grc1_oga020_src","Epiphanius, Panarion (Adversus Haereses) praef1a.1.1","t_1|0|ref=haer._"

"tlg2029.tlg001.1st1K-grc1_oga020_src","Anon.sum.rat.geo._, Anonymi summaria ratio geographiae in sphaera intelligendae 1.1","t_1|0|ref=Anon.sum.rat.geo._1.1"

"tlg2040.tlg002.perseus-grc2_oga020_src","Basil, Saint, Bishop of Caesarea, leg.gentil._1.1","t_1|t_5|ref=leg.gentil._1.1"
"tlg2040.tlg004.perseus-grc2_oga020_src","Basil, Saint, Bishop of Caesarea, ep._1","t_1|t_3|ref=ep._1"

"tlg2934.tlg066.perseus-grc2_oga020_src","John of Damascus, Saint, Barl.Joas._praef.1","t_1|t_4|ref=Barl.Joas._praef.1"

"tlg3156.tlg001.1st1K-grc1_oga020_src","Anonymi Exegesis in Hesiodi Theogoniam, Hes.theog.exeg._praef","t_1|0|ref=Hes.theog.exeg._praef"


"tlg4015.tlg005.1st1K-grc1_oga020_src","John Philoponus, In Aristotelis Meteorologicorum Librum Primum Commentarium urn:cts:greekLit:tlg4015.tlg005.1st1K-grc1.1.introduction","t_1|0|ref=Arist.meteor._1.introduction"

"tlg4016.tlg001.1st1K-grc1_oga020_src","Ammonius, In Porphyrii Isagogen Sive Quinque Voces urn:cts:greekLit:tlg4016.tlg001.1st1K-grc1.2.introduction","t_1|t_2|ref=Porph.quinque_2.introduction"
"tlg4016.tlg002.1st1K-grc1_oga020_src","Ammonius, In Aristotelis Categorias Commentarius urn:cts:greekLit:tlg4016.tlg002.1st1K-grc1.1.1.introduction","t_1|t_18|ref=Arist.cat.com._1.1.introduction"

