"cts_urn","abbv","title"
"pta9999.pta056","Ep.Jer.","Epistula Jeremiae_urn:cts:pta:pta9999.pta056.pta-grc1"
"pta9999.pta059","Eze.","Ezechiel_urn:cts:pta:pta9999.pta059.pta-grc1"
"pta9999.pta060","Sus.","Susanna_urn:cts:pta:pta9999.pta060.pta-grc1"
"pta9999.pta061","Dan.","Daniel_urn:cts:pta:pta9999.pta061.pta-grc1"
"pta9999.pta062","Bel","Bel et Draco_urn:cts:pta:pta9999.pta062.pta-grc1"
"pta9999.pta063","Matt.","Evangelium secundum Matthaeum_urn:cts:pta:pta9999.pta063.pta-grc1"
"pta9999.pta064","Mark","Evangelium secundum Marcum_urn:cts:pta:pta9999.pta064.pta-grc1"
"pta9999.pta065","Luke","Evangelium secundum Lucam_urn:cts:pta:pta9999.pta065.pta-grc1"
"pta9999.pta066","John","Evangelium secundum Ioannem_urn:cts:pta:pta9999.pta066.pta-grc1"
"pta9999.pta067","Acts","Acta apostolorum_urn:cts:pta:pta9999.pta067.pta-grc1"
"pta9999.pta068","Rom.","Epistula Pauli ad Romanos_urn:cts:pta:pta9999.pta068.pta-grc1"
"pta9999.pta069","1Cor","Epistula Pauli ad Corinthios I_urn:cts:pta:pta9999.pta069.pta-grc1"
"pta9999.pta070","2Cor","Epistula Pauli ad Corinthios II_urn:cts:pta:pta9999.pta070.pta-grc1"
"pta9999.pta071","Gal.","Epistula Pauli ad Galatas_urn:cts:pta:pta9999.pta071.pta-grc1"
"pta9999.pta072","Eph.","Epistula Pauli ad Ephesios_urn:cts:pta:pta9999.pta072.pta-grc1"
"pta9999.pta073","Phlp.","Epistula Pauli ad Philippenses_urn:cts:pta:pta9999.pta073.pta-grc1"
"pta9999.pta074","Col.","Epistula Pauli ad Colossenses_urn:cts:pta:pta9999.pta074.pta-grc1"
"pta9999.pta075","1Thes.","Epistula Pauli ad Thessalonicenses I_urn:cts:pta:pta9999.pta075.pta-grc1"
"pta9999.pta076","2Thes.","Epistula Pauli ad Thessalonicenses II_urn:cts:pta:pta9999.pta076.pta-grc1"
"pta9999.pta077","1Tim.","Epistula Pauli ad Timotheum I_urn:cts:pta:pta9999.pta077.pta-grc1"
"pta9999.pta078","2Tim.","Epistula Pauli ad Timotheum II_urn:cts:pta:pta9999.pta078.pta-grc1"
"pta9999.pta079","Tit.","Epistula Pauli ad Titum_urn:cts:pta:pta9999.pta079.pta-grc1"
"pta9999.pta080","Phlm","Epistula Pauli ad Philemonem_urn:cts:pta:pta9999.pta080.pta-grc1"
"pta9999.pta081","Heb.","Epistula Pauli ad Hebraeos_urn:cts:pta:pta9999.pta081.pta-grc1"
"pta9999.pta082","Jas.","Epistula Iacobi_urn:cts:pta:pta9999.pta082.pta-grc1"
"pta9999.pta083","1Pet.","Epistula Petri I_urn:cts:pta:pta9999.pta083.pta-grc1"
"pta9999.pta084","2Pet.","Epistula Petri II_urn:cts:pta:pta9999.pta084.pta-grc1"
"pta9999.pta085","1Jo.","Epistula Ioannis I_urn:cts:pta:pta9999.pta085.pta-grc1"
"pta9999.pta086","2Jo.","Epistula Ioannis II_urn:cts:pta:pta9999.pta086.pta-grc1"
"pta9999.pta087","3Jo.","Epistula Ioannis III_urn:cts:pta:pta9999.pta087.pta-grc1"
"pta9999.pta088","Jud.","Epistula Iuda_urn:cts:pta:pta9999.pta088.pta-grc1"
"pta9999.pta089","Rev.","Apocalypsis Ioannis_urn:cts:pta:pta9999.pta089.pta-grc1"
"tlg0001.tlg001","Argon.","Argonautica"
"tlg0003.tlg001","Pelop.","History of the Peloponnesian War"
"tlg0004.tlg001","vit.phil.","Vitae philosophorum"
"tlg0005.tlg001","Eidul.","Εἰδύλλια"
"tlg0005.tlg002","Epig.","Ἐπιγράμματα"
"tlg0005.tlg003","Syr.","Syrinx"
"tlg0006.tlg001","Cycl.","Cyclops"
"tlg0006.tlg002","Alcest.","Alcestis"
"tlg0006.tlg003","Med.","Medea"
"tlg0006.tlg004","Heracld.","Heracleidae"
"tlg0006.tlg005","Hipp.","Hippolytus"
"tlg0006.tlg006","Androm.","Andromache"
"tlg0006.tlg007","Hec.","Hecuba"
"tlg0006.tlg008","Suppl.","Suppliants"
"tlg0006.tlg009","Heracl.","Heracles"
"tlg0006.tlg010","Ion","Ion"
"tlg0006.tlg011","Troj.","The Trojan Women"
"tlg0006.tlg012","Elec.","Electra"
"tlg0006.tlg013","Iph.Taur.","Iphigenia in Tauris"
"tlg0006.tlg014","Hel.","Helen"
"tlg0006.tlg015","Phoen.","Phoenissae"
"tlg0006.tlg016","Orest.","Orestes"
"tlg0006.tlg017","Bacc.","Bacchae"
"tlg0006.tlg018","Iph.Aul.","Iphigenia in Aulis"
"tlg0006.tlg019","Rhes.","Rhesus"
"tlg0006.tlg020","fr.","Fragmenta"
"tlg0007.tlg001","Thes.","Theseus"
"tlg0007.tlg002","Romul.","Romulus"
"tlg0007.tlg003","Cp.Thes.Romul.","Comparison of Theseus and Romulus"
"tlg0007.tlg004","Lycurg.","Lycurgus"
"tlg0007.tlg005","Numa","Numa"
"tlg0007.tlg006","Cp.Lycurg.Num.","Comparison of Lycurgus and Numa"
"tlg0007.tlg007","Sol.","Solon"
"tlg0007.tlg008","Publ.","Publicola"
"tlg0007.tlg009","Cp.Sol.Publ.","Comparison of Solon and Publicola"
"tlg0007.tlg010","Themis.","Themistocles"
"tlg0007.tlg011","Camil.","Camillus"
"tlg0007.tlg012","Peric.","Pericles"
"tlg0007.tlg013","Fab.Max.","Fabius Maximus"
"tlg0007.tlg014","Cp.Peric.Fab.","Comparison of Pericles and Fabius Maximus"
"tlg0007.tlg015","Alcib.","Alcibiades"
"tlg0007.tlg016","C.M.Coriol.","Caius Marcius Coriolanus"
"tlg0007.tlg017","Cp.Alcib.Cor.","Comparison of Alcibiades and Coriolanus"
"tlg0007.tlg018","Timol.","Timoleon"
"tlg0007.tlg019","Aem.Paul.","Aemilius Paulus"
"tlg0007.tlg020","Cp.Timol.Aem.","Comparison of Timoleon and Aemilius"
