"cts_urn","abbv","title"
"tlg0062.tlg015","Symp.","Symposium"
"tlg0062.tlg016","Cat.","Cataplus"
"tlg0062.tlg017","J. Conf.","Juppiter Confutatus"
"tlg0062.tlg018","J. Tr.","Juppiter Tragoedus"
"tlg0062.tlg019","Gall.","Gallus"
"tlg0062.tlg020","Prom.","Prometheus"
"tlg0062.tlg021","Icar.","Icaromenippus"
"tlg0062.tlg022","Tim.","Timon"
"tlg0062.tlg023","Cont.","Contemplantes"
"tlg0062.tlg024","Vit. Auct.","Vitarum auctio"
"tlg0062.tlg025","Pisc.","Piscator"
"tlg0062.tlg026","Bis. Acc.","Bis accusatus sive tribunalia"
"tlg0062.tlg027","Sacr.","De Sacrificiis"
"tlg0062.tlg028","Ind.","Adversus indoctum et libros multos ementem"
"tlg0062.tlg029","Somn.","Somnium sive vita Luciani"
"tlg0062.tlg030","Par.","De parasito sive artem esse parasiticam"
"tlg0062.tlg031","Philops.","Philopseudes sive incredulus"
"tlg0062.tlg032","Dearum","Dearum judicium"
"tlg0062.tlg033","Merc. Cond.","De mercede"
"tlg0062.tlg034","Anach.","Anacharsis"
"tlg0062.tlg035","Nec.","Necyomantia"
"tlg0062.tlg036","Luct.","De luctu"
"tlg0062.tlg037","Rh. Pr.","Rhetorum praeceptor"
"tlg0062.tlg038","Alex.","Alexander"
"tlg0062.tlg039","Im.","Imagines"
"tlg0062.tlg040","Pr. Im.","Pro imaginibus"
"tlg0062.tlg041","Syr. D.","De Syria dea"
"tlg0062.tlg042","Peregr.","De Morte Peregrini"
"tlg0062.tlg043","Fug.","Fugitivi"
"tlg0062.tlg044","Tox.","Toxaris vel amicitia"
"tlg0062.tlg045","Salt.","De saltatione"
"tlg0062.tlg046","Lex.","Lexiphanes"
"tlg0062.tlg047","Eun.","Eunuchus"
"tlg0062.tlg048","Astr.","De astrologia"
"tlg0062.tlg049","Pseudol.","Pseudologista"
"tlg0062.tlg050","Deor. Conc.","Deorum concilium"
"tlg0062.tlg051","Tyr.","Tyrannicida"
"tlg0062.tlg052","Abdic.","Abdicatus"
"tlg0062.tlg053","Hist. Conscr.","Quomodo historia conscribenda sit"
"tlg0062.tlg054","Dips.","Dipsades"
"tlg0062.tlg055","Sat.","Saturnalia"
"tlg0062.tlg056","Herod.","Herodotus"
"tlg0062.tlg057","Zeux.","Zeuxis"
"tlg0062.tlg058","Laps.","Pro lapsu inter salutandum"
"tlg0062.tlg059","Apol.","Apologia"
"tlg0062.tlg060","Harm.","Harmonides"
"tlg0062.tlg061","Hes.","Hesiod"
"tlg0062.tlg062","Scyth.","Scytha"
"tlg0062.tlg063","Herm.","Hermotimus"
"tlg0062.tlg064","Prom.","Prometheus es in verbis"
"tlg0062.tlg065","Nav.","Navigium"
"tlg0062.tlg066","DMort.","Dialogi mortuorum"
"tlg0062.tlg067","DMar.","Dialogi Marini"
"tlg0062.tlg068","DDeor.","Dialogi deorum"
"tlg0062.tlg069","DMeretr.","Dialogi meretricii"
"tlg0062.tlg070","Sol.","Soleocista"
"tlg0062.tlg071","Pod.","Podagra"
"tlg0064.tlg001","Peripl.Han.","Periplus Hannonis"
"tlg0065.tlg001","Peripl.Scyl.","Periplus Scylacis"
"tlg0066.tlg001","Descr.Graec.","Descriptio Graeciae"
"tlg0067.tlg001","Rubr.Mar.","De Rubro Mari"
"tlg0068.tlg001","Nicom.","Ad Nicomedem regem, vv. 1-980"
"tlg0069.tlg001","Desc.Graec.","Descriptio Graeciae"
"tlg0070.tlg001","Mans.Parth.","Mansiones Parthicae"
"tlg0071.tlg001","peripl.Erythr.","Anonymi (Arriani, ut fertur) periplus maris Erythraei"
"tlg0074.tlg001","Arr. An.","Ἀλεξάνδρου Ἀνάβασις"
"tlg0074.tlg002","Arr. Ind.","Indica"
"tlg0074.tlg003","Arr. Cyn.","Cynegeticus"
"tlg0074.tlg004","Arr. Peripl.","Periplus Ponti Euxini"
"tlg0074.tlg005","Arr. Tact.","Tactica"
"tlg0074.tlg006","Arr. Alan.","Acies Contra Alanos"
"tlg0074.tlg008","Arr. Ep.","Epistula ad Lucium Gellium"
"tlg0075.tlg001","peripl.Eux.","Anonymi (Arriani, ut fertur) periplus ponti Euxini"
"tlg0077.tlg001","Stadias.","Stadiasmus Magni Maris"
"tlg0081.tlg001","D.H.","Antiquitates Romanae"
"tlg0081.tlg002","D.H. Orat.","De antiquis oratoribus"
"tlg0081.tlg003","D.H. Lys.","De Lysia"
"tlg0081.tlg004","D.H. Isoc.","De Isocrate"
"tlg0081.tlg005","D.H. Is.","De Isaeo"
"tlg0081.tlg006","D.H. Dem.","De Demosthenis dictione"
"tlg0081.tlg007","D.H. Orat.Vett.","Libri secundi de antiquis oratoribus reliquiae"
"tlg0081.tlg008","D.H. Amm. 1","Ad Ammaeum"
"tlg0081.tlg009","D.H. Din.","De Dinarcho"
"tlg0081.tlg010","D.H. Amm. 2","De Thucydide"
"tlg0081.tlg011","D.H. Th.","De Thucydidis idiomatibus"
"tlg0081.tlg012","D.H. Comp.","De Compositione Verborum"
"tlg0081.tlg013","D.H. Comp.epit.","De compositione verborum (epitome)"
"tlg0081.tlg014","D.H. imit.","De imitatione (fragmenta)"
"tlg0081.tlg015","D.H. Pomp.","Epistula ad Pompeium Geminum"
"tlg0081.tlg016","D.H. Ars","Ars Rhetorica"
"tlg0082.tlg001","ponom.","De pronominibus"
"tlg0082.tlg002","adverb.","De adverbiis"
"tlg0082.tlg003","conjuct.","De Conjuctionibus"
"tlg0082.tlg004","construc.","De constructione"
"tlg0083.tlg003","Bosp.navig.","De Bospori Navigatione"
"tlg0084.tlg001","Orb.descr.","Orbis Descriptio"
"tlg0085.tlg001","Aesch. Supp.","Supplices"
"tlg0085.tlg002","Aesch. Pers.","Persians"
"tlg0085.tlg003","Aesch. Prom.","Prometheus Bound"
"tlg0085.tlg004","Aesch. Seven","Seven Against Thebes"
"tlg0085.tlg005","Aesch. Ag.","Agamemnon"
"tlg0085.tlg006","Aesch. Lib.","Libation Bearers"
"tlg0085.tlg007","Aesch. Eum.","Eumenides"
"tlg0086.tlg001","Analyt.","Analytica priora"
"tlg0086.tlg002","anim.","De anima"
"tlg0086.tlg003","Const. Ath.","Res Publica Atheniensium"
"tlg0086.tlg004","audib.","De audibilibus"
"tlg0086.tlg005","cael.","De caelo"
"tlg0086.tlg006","Categ.","Categoriae"
"tlg0086.tlg007","Aristot. color.","De coloribus"
"tlg0086.tlg008","Aristot. divin.","De divinatione per somnum"
"tlg0086.tlg009","Aristot. Eud. Eth.","Eudemian Ethics"
"tlg0086.tlg010","Aristot. Nic. Eth.","Nicomachean Ethics"
"tlg0086.tlg011","ep.","Epistulae"
"tlg0086.tlg012","Aristot. gen.animal.","De Generatione Animalium"
"tlg0086.tlg013","Aristot. gen.cor.","De generatione et corruptione"
"tlg0086.tlg014","Aristot. hist.animal.","Historia animalium"
"tlg0086.tlg015","Aristot. animal.inc..","De animalium incessu"
"tlg0086.tlg016","Aristot. insomn.","De insomniis"
"tlg0086.tlg017","Aristot. interp.","De interpretatione"
"tlg0086.tlg018","Aristot. iuv.","De iuventute et senectute, De vita et morte"
"tlg0086.tlg019","Aristot. lin.","De lineis insecabilibus"
"tlg0086.tlg020","Aristot. long.","De longitudine et brevitate vitae"
"tlg0086.tlg021","Aristot. animal.mot.","De animalium motione"
"tlg0086.tlg022","Aristot. moral.","Magna Moralia"
"tlg0086.tlg023","Aristot. mech.","Mechanica"
"tlg0086.tlg024","Aristot. memor.","De memoria et reminiscentia"
"tlg0086.tlg025","Aristot. Met.","Metaphysics"
"tlg0086.tlg026","Aristot. Meteor.","Meteorologica"
"tlg0086.tlg027","Aristot. Mirab.","Mirabilium auscultationes"
"tlg0086.tlg029","Aristot. Econ.","Economics"
"tlg0086.tlg030","Aristot. part.animal..","De partibus animalium"
"tlg0086.tlg031","Aristot. Physic..","Physica"
"tlg0086.tlg032","Aristot. Physiogn..","Physiognomonica"
"tlg0086.tlg034","Aristot. Poet.","Poetics"
"tlg0086.tlg035","Aristot. Pol.","Politics"
"tlg0086.tlg036","Aristot. Problem.","Problemata"
"tlg0086.tlg037","Aristot. respir..","De respiratione"
"tlg0086.tlg038","Aristot. Rh.","Rhetoric"
"tlg0086.tlg039","Aristot. plant.","De plantis"
"tlg0086.tlg040","Aristot. soph.","De sophisticis elenchis"
"tlg0086.tlg041","Aristot. sens.","De sensu et sensibilibus"
"tlg0086.tlg042","Aristot. somn.","De somno et vigilia"
"tlg0086.tlg043","Aristot. spir.","De spiritu"
"tlg0086.tlg044","Aristot. topic.","Topica"
"tlg0086.tlg045","Aristot. Vir.","On Virtues and Vices"
"tlg0086.tlg046","Aristot. vent.","De ventorum situ et nominibus"
"tlg0086.tlg047","Aristot. Xen.","De Xenophane, de Zenone, de Gorgia"
"tlg0086.tlg048","Aristot. Divis.","Divisiones Aristoteleae"
"tlg0086.tlg052","Aristot. anim.fr.","De anima (codicis E fragmenta recensionis a vulgata diversae)"
"tlg0086.tlg054","Aristot. physic.","Physica (textus alter)"
"tlg0087.tlg001","prosod.cath.","De prosodia catholica"
"tlg0087.tlg002","enclis.","De enclisi"
"tlg0087.tlg004","temp.","Περὶ διχρόνων"
"tlg0087.tlg005","spir.","Περὶ πνευμάτων"
"tlg0087.tlg006","Attic.prosod.","Περὶ Ἀττικῆς προσῳδίας"
"tlg0087.tlg007","Iliac.prosod.","Περὶ Ἰλιακῆς προσῳδίας"
"tlg0087.tlg008","Odys.prosod.","Περὶ Ὀδυσσειακῆς προσῳδίας"
"tlg0087.tlg009","passion.","Περὶ παθῶν"
"tlg0087.tlg009a","Herod.pass.","Ἐκ τῶν Ἡρωδιανοῦ ὑπομνημάτων τῶν περὶ παθῶν Διδύμου"
"tlg0087.tlg010","const.elem.","Περὶ συντάξεως τῶν στοιχείων"
"tlg0087.tlg011","orthog.","Περὶ ὀρθογραφίας"
"tlg0087.tlg012","onomat.","Περὶ ὀνομάτων"
"tlg0087.tlg013","declin.nomin.","Περὶ κλίσεως ὀνομάτων"
"tlg0087.tlg014","Apoll.gener.","Εἰς τὸ περὶ γενῶν Ἀπολλωνίου ὑπόμνημα"
"tlg0087.tlg015","Monob.aqua","Μονόβιβλον περὶ τοῦ ὕδωρ"
"tlg0087.tlg016","vita","Περὶ τοῦ ζώς"
"tlg0087.tlg017","conjug.","Περὶ συζυγιῶν"
"tlg0087.tlg018","Monob.flex.","Μονόβιβλον περὶ τοῦ μὴ πάντα τὰ ῥήματα κλίνεσθαι εἰς πάντας τοὺς χρόνους"
"tlg0087.tlg019","partic.","Περὶ μετοχῶν"
"tlg0087.tlg020","Monob.esse","Μονόβιβλον περὶ τοῦ ἦν"
"tlg0087.tlg021","verb.","Περὶ ῥημάτων"
"tlg0087.tlg022","praep.","Περὶ τῶν εἰς μι"
"tlg0087.tlg023","pronom.","Περὶ ἀντωνυμιῶν"
"tlg0087.tlg024","adverb.","Περὶ ἐπιρρημάτων"
"tlg0087.tlg025","figur.","De figuris"
"tlg0087.tlg026","paronym.","Περὶ παρωνύμων"
"tlg0087.tlg027","nomin.verb.","Περὶ ῥηματικῶν ὀνομάτων"
"tlg0087.tlg028","monosyl.","Περὶ μονοσυλλάβων"
"tlg0087.tlg029","matrim.","Περὶ γάμου καὶ συμβιώσεως"
"tlg0087.tlg030","symp.","Συμπόσιον"
"tlg0087.tlg031","propos.","Προτάσεις"
"tlg0087.tlg032","Apoll.intr.","Εἰς τὴν Ἀπολλωνίου εἰσαγωγήν"
"tlg0087.tlg033","verb.solit.","Περὶ μονήρους λέξεως"
"tlg0088.tlg001","elem.harm.","Ἁρμονικὰ στοιχεῖα"
"tlg0090.tlg001","geogr.inf.","Geographiae informatio"
"tlg0092.tlg001","geogr.exp.","Geographiae expositio compendiaria"
"tlg0093.ogl001","odor.","De odoribus"
"tlg0093.ogl002","sign.tempest.","De signis tempestatum"
"tlg0093.tlg001","plant.","Enquiry into Plants"
"tlg0093.tlg002","caus.plant.","De causis plantarum"
"tlg0093.tlg003","sens.","De sensu et sensibilibus"
"tlg0093.tlg004","lapid.","De lapidibus"
"tlg0093.tlg005","igne","De igne"
"tlg0093.tlg006","Metaphys.","Metaphysica"
"tlg0093.tlg009","Charact.","Characters"
"tlg0093.tlg010","Odor.","De Odoribus"
"tlg0093.tlg010x01","Odor.","De Odoribus"
"tlg0093.tlg010x02","Vent.","De Ventis"
"tlg0093.tlg010x03","Sign.Tempest.","De Signis Tempestatum"
"tlg0093.tlg010x04","Lassit.","De Lassitudine"
"tlg0093.tlg010x05","Vertig.","De Vertigine"
"tlg0093.tlg010x06","Sudor.","De Sudore"
"tlg0093.tlg010x07","Anim.Defect.","De Animi Defectione"
"tlg0093.tlg010x08","Nerv.Res.","De Nervorum Resolutione"
"tlg0093.tlg010x09","fr.var.","Fragmenta varia"
"tlg0094.tlg001","fluv.","De Fluviis"
"tlg0094.tlg002","music.","De musica"
"tlg0094.tlg003","Plac.Philos.","Placita Philosophorum"
"tlg0096.tlg002","Fabul.","Fabulae"
"tlg0097.tlg001","Paroem.","Paroemiae (epitome operis sub nomine Diogeniani) (e cod. Mazarinco)"
"tlg0098.tlg001","Lucil.Tarr.","Epitome collectionum Lucilli Tarrhaei et Didymi"
"tlg0099.tlg001","Geogr.","Geography"
"tlg0099.tlg004","Georgr.Chrest.","Geographiae Chrestomathia"
"tlg0199.tlg001","Epinic.","Epinicians"
"tlg0199.tlg002","Dithyr.","Dithyrambs"
"tlg0233.tlg001","fr.","Fragmentum (128)"
"tlg0284.tlg001","Orat.1","Orationes 1"
"tlg0284.tlg002","Orat.2","Orationes 2"
"tlg0284.tlg003","Orat.3","Orationes 3"
"tlg0284.tlg004","Orat.4","Orationes 4"
"tlg0284.tlg005","Orat.5","Orationes 5"
"tlg0284.tlg006","Orat.6","Orationes 6"
"tlg0284.tlg007","Orat.7","Orationes 7"
"tlg0284.tlg008","Orat.8","Orationes 8"
"tlg0284.tlg009","Orat.9","Orationes 9"
"tlg0284.tlg010","Orat.10","Orationes 10"
"tlg0284.tlg011","Orat.11","Orationes 11"
"tlg0284.tlg012","Orat.12","Orationes 12"
"tlg0284.tlg013","Orat.13","Orationes 13"
"tlg0284.tlg014","Orat.14","Orationes 14"
"tlg0284.tlg015","Orat.15","Orationes 15"
"tlg0284.tlg016","Orat.16","Orationes 16"
"tlg0284.tlg017","Orat.16","Orationes 17"
"tlg0284.tlg018","Orat.16","Orationes 18"
"tlg0284.tlg019","Orat.16","Orationes 19"
"tlg0284.tlg020","Orat.20","Orationes 20"
"tlg0284.tlg021","Orat.21","Orationes 21"
"tlg0284.tlg022","Orat.21","Orationes 22"
"tlg0284.tlg023","Orat.21","Orationes 23"
"tlg0284.tlg024","Orat.21","Orationes 24"
"tlg0284.tlg025","Orat.21","Orationes 25"
"tlg0284.tlg026","Orat. 26","Orationes 26"
"tlg0284.tlg027","Orat. 27","Orationes 27"
"tlg0284.tlg028","Orat. 28","Orationes 28"
"tlg0284.tlg029","Orat. 29","Orationes 29"
"tlg0284.tlg030","Orat. 30","Orationes 30"
"tlg0284.tlg031","Orat. 31","Orationes 31"
"tlg0284.tlg032","Orat. 32","Orationes 32"
"tlg0284.tlg033","Orat. 33","Orationes 33"
"tlg0284.tlg034","Orat. 34","Orationes 34"
"tlg0284.tlg035","Orat. 35","Orationes 35"
"tlg0284.tlg036","Orat. 36","Orationes 36"
"tlg0284.tlg037","Orat. 37","Orationes 37"
"tlg0284.tlg038","Orat. 38","Orationes 38"
"tlg0284.tlg039","Orat. 39","Orationes 39"
"tlg0284.tlg040","Orat. 40","Orationes 40"
"tlg0284.tlg041","Orat. 41","Orationes 41"
"tlg0284.tlg042","Orat. 42","Orationes 42"
"tlg0284.tlg043","Orat. 43","Orationes 43"
"tlg0284.tlg044","Orat. 44","Orationes 44"
"tlg0284.tlg045","Orat. 45","Orationes 45"
"tlg0284.tlg046","Orat. 46","Orationes 46"
"tlg0284.tlg047","Orat. 47","Orationes 47"
"tlg0284.tlg048","Orat. 48","Orationes 48"
"tlg0284.tlg049","Orat. 49","Orationes 49"
"tlg0284.tlg050","Orat. 50","Orationes 50"
"tlg0284.tlg051","Orat. 51","Orationes 51"
"tlg0284.tlg052","Orat. 52","Orationes 52"
"tlg0284.tlg053","Orat. 53","Orationes 53"
"tlg0284.tlg054","Orat. 54","Orationes 54"
"tlg0284.tlg055","Orat. 55","Orationes 55"
"tlg0284.tlg056","Ars","Ars Rhetorica_1.Arg.1.1"
"tlg0317.tlg001","A. Jo.","Acta Joannis"
"tlg0317.tlg002","A. Jo.","Acta Joannis (recensio)"
"tlg0319.tlg004","fr.","Fragmenta"
"tlg0341.tlg002","Alexandra","Alexandra"
"tlg0357.tlg001","Mens.marm.","Mensurae marmorum ac lignorum"
"tlg0358.tlg001","Intr.arith.","Introductio arithmetica"
"tlg0358.tlg002","Harm.enchir.","Harmonicum enchiridion"
"tlg0358.tlg004","Excerp.","Excerpta"
"tlg0358.tlg005","Probl.arith.","Problemata arithmetica"
"tlg0361.tlg001","Intr.Harm.","Introductio Harmonica"
"tlg0362.tlg001","Carm.Delph.","Carmina Delphis Inventa"
"tlg0363.tlg001","Syntax.","Syntaxis mathematica"
"tlg0363.tlg007","Apotelesm.","Apotelesmatica (= Tetrabiblos)"
"tlg0363.tlg011","Music.","Musica"
"tlg0385.tlg001","Hist.Rom.","Historia Romana"
"tlg0509.tlg001","Ep.Pyllid.","Epistula ad Phyllidem"
"tlg0521.tlg008","fr.","Fragmenta"
"tlg0525.tlg001","Descr.Gr.","Description of Greece"
"tlg0526.tlg001","Antiq.","Jewish Antiquities"
"tlg0526.tlg002","Vit.","Life of Josephus"
"tlg0526.tlg003","Apion","Against Apion"
"tlg0526.tlg004","Bellum","The Jewish War"
"tlg0527.tlg001","Gen","Genesis"
"tlg0527.tlg002","Exod","Exodus"
"tlg0527.tlg003","Lev","Leviticus"
"tlg0527.tlg004","Num","Numbers"
"tlg0527.tlg005","Deut","Deuteronomium"
"tlg0527.tlg006","Jos","Josue Cod. Vaticanus + Cod. Alexandrinus)"
"tlg0527.tlg008","Jdg","Judices (Cod. Alexandrinus)"
"tlg0527.tlg010","Ruth","Ruth"
"tlg0527.tlg011","1Sam","Regnorum I (Samuelis I In Textu Masoretico)"
"tlg0527.tlg012","2Sam","Regnorum II (Samuelis II In Textu Masoretico)"
"tlg0527.tlg013","1Kgs","Regnorum III (Regum I In Textu Masoretico)"
"tlg0527.tlg014","2Kgs","Regnorum IV (Regum II In Textu Masoretico)"
"tlg0527.tlg015","1Chr","Paralipomenon I sive Chronicon I"
"tlg0527.tlg016","2Chr","Paralipomenon II sive Chronicon II"
"tlg0527.tlg017","1Esd","Esdras i (liber apocryphus)"
"tlg0527.tlg018","2Esd","Esdras ii (Ezra et Nehemias in textu Masoretico)"
"tlg0527.tlg019","Esth","Esther"
"tlg0527.tlg020","Jdt","Judith"
"tlg0527.tlg021","Tob","Tobias (Cod. Vaticanus + Cod. Alexandrinus)"
"tlg0527.tlg023","1Mac","Machabaeorum i"
"tlg0527.tlg024","2Mac","Machabaeorum ii"
"tlg0527.tlg025","3Mac","Machabaeorum iii"
"tlg0527.tlg026","4Mac","Machabaeorum iv"
"tlg0527.tlg027","Ps","Psalmi"
"tlg0527.tlg028","Odae","Odae"
"tlg0527.tlg029","Prov","Proverbia"
"tlg0527.tlg031","Cant.","Canticum"
"tlg0527.tlg032","Job","Job"
"tlg0527.tlg033","Wis","Sapientia Salomonis"
"tlg0527.tlg034","Sir","Ecclesiasticus sive Siracides (Sapientia Jesu filii Sirach)"
"tlg0527.tlg035","PsSol","Psalmi Salomonis"
"tlg0527.tlg036","Hos","Osee"
"tlg0527.tlg037","Amos","Amos"
"tlg0527.tlg038","Mic","Michaeas"
"tlg0527.tlg039","Joel","Joel"
"tlg0527.tlg040","Obd","Abdias"
"tlg0527.tlg041","Jon","Jonas"
"tlg0527.tlg042","Nah","Nahum"
"tlg0527.tlg043","Hab","Habacuc"
"tlg0527.tlg044","Zeph","Sophonias"
"tlg0527.tlg045","Hag","Aggaeus"
"tlg0527.tlg046","Zech","Zacharias"
"tlg0527.tlg047","Mal","Malachias"
"tlg0527.tlg048","Isa","Isaias"
"tlg0527.tlg049","Jer","Jeremias"
"tlg0527.tlg050","Baruch","Baruch"
"tlg0527.tlg051","Lam","Threni seu Lamentationes"
"tlg0527.tlg052","Ep.Jer.","Epistula Jeremiae"
"tlg0527.tlg053","Eze","Ezechiel"
"tlg0527.tlg054","Sus","Susanna (translatio Graeca)"
"tlg0527.tlg055","Sus","Susanna (Theodotionis versio)"
"tlg0527.tlg056","Dan","Daniel (translatio Graeca)"
"tlg0527.tlg057","Dan","Daniel (Theodotionis versio)"
"tlg0527.tlg058","Bel","Bel et Draco (translatio Graeca)"
"tlg0527.tlg059","Bel","Bel et Draco (Theodotionis versio)"
"tlg0529.tlg002","phil.sect.","Liber de philosophorum sectis (epitome ap. Stobaeum)"
"tlg0530.tlg005","fasc.","De fasciis"
"tlg0530.tlg006","Gaur.anim.","Ad Gaurum quomodo animetur fetus"
"tlg0530.tlg012","intr.medic.","Introductio seu medicus"
"tlg0530.tlg029","remed.parab.","De remediis parabilibus"
"tlg0530.tlg032","ther.Pamph.","De theriaca ad Pamphilianum"
"tlg0530.tlg043","optim.sect.Thras.","De optima secta ad Thrasybulum"
"tlg0532.tlg001","Leuc.","Leucippe and Clitophon"
"tlg0533.tlg003","Epig.","Epigrams"
"tlg0533.tlg004","Epig.fr.","Epigrams and Fragments"
"tlg0533.tlg006","Aetia","Aetia"
"tlg0533.tlg007","Iambi","Iambi"
"tlg0533.tlg009","Hecala","Hecala"
"tlg0533.tlg015","H.Zeus","Hymn to Zeus"
"tlg0533.tlg016","H.Apol.","Hymn to Apollo"
"tlg0533.tlg017","H.Artem.","Hymn to Artemis"
"tlg0533.tlg018","H.Del.","Hymn to Delos"
"tlg0533.tlg019","H.Athen.","Hymn to Athena"
"tlg0533.tlg020","H.Dem.","Hymn to Demeter"
"tlg0535.tlg001","Duodec.An.","On the Twelve Years"
"tlg0537.tlg010","Ep.Herodot.","Epistula ad Herodotum"
"tlg0537.tlg011","Ep.Pyth.","Epistula ad Pythoclem"
"tlg0537.tlg012","Ep.Menoec.","Epistula ad Menoeceum"
"tlg0537.tlg013","Rat.Sent.","Ratae Sententiae"
"tlg0537.tlg014","Gnomol.Vatic.","Gnomologium Vaticanum Epicureum"
"tlg0540.tlg001","Lys. 1","On the Murder of Eratosthenes"
"tlg0540.tlg002","Lys. 2","Funeral Oration"
"tlg0540.tlg003","Lys. 3","Against Simon"
"tlg0540.tlg004","Lys. 4","On A Wound By Premeditation"
"tlg0540.tlg005","Lys. 5","For Callias"
"tlg0540.tlg006","Lys. 6","Against Andocides"
"tlg0540.tlg007","Lys. 7","On the Olive Stump"
"tlg0540.tlg008","Lys. 8","Accusation of Calumny"
"tlg0540.tlg009","Lys. 9","For The Soldier"
"tlg0540.tlg010","Lys. 10","Against Theomnestus 1"
"tlg0540.tlg011","Lys. 11","Against Theomnestus 2"
"tlg0540.tlg012","Lys. 12","Against Eratosthenes"
"tlg0540.tlg013","Lys. 13","Against Agoratus"
"tlg0540.tlg014","Lys. 14","Against Alcibiades 1"
"tlg0540.tlg015","Lys. 15","Against Alcibiades 2"
"tlg0540.tlg016","Lys. 16","In Defense of Mantitheus"
"tlg0540.tlg017","Lys. 17","On The Property Of Eraton"
"tlg0540.tlg018","Lys. 18","On the Confiscation of the Property Of The Brother Of Nicias"
"tlg0540.tlg019","Lys. 19","On the Property of Aristophanes"
"tlg0540.tlg020","Lys. 20","For Polystratus"
"tlg0540.tlg021","Lys. 21","Defense Against A Charge Of Taking Bribes"
"tlg0540.tlg022","Lys. 22","Against The Corn-Dealers"
"tlg0540.tlg023","Lys. 23","Against Pancleon"
"tlg0540.tlg024","Lys. 24","On The Refusal Of A Pension"
"tlg0540.tlg025","Lys. 25","Defense Against a Charge of Subverting the Democracy"
"tlg0540.tlg026","Lys. 26","On the Scrutiny of Evandros"
"tlg0540.tlg027","Lys. 27","Against Epicrates and his Fellow-envoys"
"tlg0540.tlg028","Lys. 28","Against Ergocles"
"tlg0540.tlg029","Lys. 29","Against Philocrates"
"tlg0540.tlg030","Lys. 30","Against Nicomachus"
"tlg0540.tlg031","Lys. 31","Against Philon"
"tlg0540.tlg032","Lys. 32","Against Diogeiton"
"tlg0540.tlg033","Lys. 33","Olympic Oration"
"tlg0540.tlg034","Lys. 34","Against The Subversion of the Ancestral Constitution"
"tlg0541.tlg042","Sent.","Sententiae (corresponds to version Men Ar I) (Greek)"
"tlg0542.tlg001","Onomast.","Onomasticon"
"tlg0543.tlg001","Hist.","Histories"
"tlg0544.tlg001","Pyrr.Hyp.","Pyrrhoniae Hypotyposes"
"tlg0544.tlg002","c.Mathem.","Adversus Mathematicos"
"tlg0545.tlg001","Nat.Animal.","De Natura Animalium"
"tlg0545.tlg002","Var.Hist.","Varia Historia"
"tlg0545.tlg003","Ep.Rust.","Epistulae Rusticae"
"tlg0545.tlg004","fr.","Fragmenta"
"tlg0548.tlg001","Biblioth.","Library"
"tlg0548.tlg002","Epitom.","Epitome"
"tlg0550.tlg001","Conic.","Conica"
"tlg0551.tlg002","Reg.","Kings"
"tlg0551.tlg003","Ital.","Italy"
"tlg0551.tlg004","Sam.","Samnite History"
"tlg0551.tlg005","Gall.","Gallic History"
"tlg0551.tlg006","Sicily","Sicily and the Other Islands"
"tlg0551.tlg007","Hisp.","Wars in Spain"
"tlg0551.tlg008","Hann.","Hannibalic War"
"tlg0551.tlg009","Pun.","Punic Wars"
"tlg0551.tlg010","Numid.","Numidian Affairs"
"tlg0551.tlg011","Mac.","Macedonian Affairs"
"tlg0551.tlg012","Ill.","Illyrian Wars"
"tlg0551.tlg013","Syr.","Syrian Wars"
"tlg0551.tlg014","Mith.","Mithridatic Wars"
"tlg0551.tlg017","BC","Civil Wars"
"tlg0552.tlg001","sphaer.","De sphaera et cylindro"
"tlg0552.tlg002","dimens.circ.","Dimensio circuli"
"tlg0552.tlg003","conoid.","De conoidibus et sphaeroidibus"
"tlg0552.tlg004","lin.spiral.","De lineis spiralibus"
"tlg0552.tlg005","planor.aeq.","De planorum aequilibriis"
"tlg0552.tlg006","Arenar.","Arenarius"
"tlg0552.tlg007","Quadr.par.","Quadratura parabolae"
"tlg0552.tlg008","corp.fluit.","De corporibus fluitantibus"
"tlg0552.tlg009","Stom.","Stomachion"
"tlg0552.tlg010","Erat.meth.","Ad Eratosthenem methodus"
"tlg0552.tlg011","assump.","Liber assumptorum"
"tlg0552.tlg012","Prob.bovin.","Problema bovinum"
"tlg0552.tlg013","fr.","Fragmenta"
"tlg0553.tlg001","Oneir.","Ονειροκριτικά"
"tlg0554.tlg001","Chaer.","De Chaerea et Callirhoe"
"tlg0555.tlg001","prot.","Protrepticus"
"tlg0555.tlg002","paed.","Paedagogus"
"tlg0555.tlg004","str.","Stromateis"
"tlg0555.tlg005","ecl.","Eclogae propheticae"
"tlg0555.tlg006","q.d.s.","Quis dives salvetur"
"tlg0555.tlg007","exc. Thdot.","Excerpta ex Theodoto"
"tlg0555.tlg008","Exhortation to Endurance or To the Newly Baptized (Fragment 44)",""
"tlg0556.tlg001","Tactic.","Tactica"
"tlg0557.tlg001","Discours.","Discourses"
"tlg0557.tlg002","Handb.","The Handbook"
"tlg0557.tlg003","fr.","Fragments"
"tlg0557.tlg004","Gnomol.Epic.","Gnomologium Epicteteum (e Stobaei libris 1-2)"
"tlg0557.tlg005","Gnomol.Epic.","Gnomologium Epicteteum (e Stobaei libris 3‑4)"
"tlg0559.tlg001","Pneum.","Pneumatica"
"tlg0559.tlg002","autom.","De automatis"
